id	label	fmqg	zmqg	total	crowd9	fmqg	zmqg	crowd3	crowd_labels									data
345	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	现有钻石翡翠手链一条，做工很精细，镶嵌5粒翡翠及百余颗钻石，18k玫瑰金质地，适合温婉大方的你哦！
346	1	4	5	9	1	0	3	1	1	1	1	0	0	0	0	1	1	好透的翡翠哦，玻璃种，极品。不过看着都不像翡翠了，好像水晶。
347	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	缤纷多彩的小蛋面，组合成清润透亮、玲珑别致的戒指 ：  冰种三彩缅甸翡翠银镀金花形戒指   内径：16.8mm 裸：高：30.6mm 宽：20.6mm 厚：10.7mm，仅售1980元。
348	1	3	6	9	1	2	1	-1	0	1	0	1	1	1	1	1	0	相较于钻石，还是比较喜欢翡翠。
349	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	最近发现各大主流购物网站的服务都越来越贴心了，包括卓越的晚间送货服务、预约送货服务、淘宝七天无理由退换服务以及运费保险服务，都是相当相当之体贴到位！
350	1	2	7	9	1	1	2	1	1	0	1	0	1	1	1	1	1	手机被我一脚踢下桥，幸亏下面没水，直接摔散了，但组装起来还能用。。。看来三星还挺耐摔的嘛。我在这里望香港。
351	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	今天收到礼物啦…翡翠挂件，非常喜欢ocolovable 谢谢…
352	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	天然萌自然呆，翡翠世间罕有--哈哈。
353	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	翡翠猫咪，两用的，种水色的表现都很不错。是只帅猫咪。
354	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	诺基亚Wp8手机 Lumia920 发布。让我们期待后诺基亚时代~ 4.5英寸屏幕 wxga分辨率 2000mah大容量电池~关键的亮点在与 lumia920支持无线充电！！！没错！！！是无线充电！！！还有街拍模式可以直接在相机中搜索周边景物信息包括道路餐馆。这种神器 在这时候发布，对苹果htc三星市场有着极大的冲击力。
355	1	1	8	9	1	1	2	1	1	1	0	1	1	1	1	1	1	这么神啊，这个手机多少钱哪。三星近来的手机都很神拉。
356	1	1	8	9	1	1	2	1	0	1	1	1	1	1	1	1	1	本命年麻麻给买的红绳手链～本来说串金子的，可是我真不喜欢那金灿灿的家伙，俗气～还是玉适合我，低调地奢华～翡翠的小知了，和俩小路路通保佑我顺顺利利一鸣惊人吧～
357	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	#GALAXY SⅢ追色行动# 石榴红的三星GALAXY SⅢ，石榴红的小浆果，都给人特别醒目的颜色，让我们爱之不尽！星手机官网 笑人生花园 雅0228 呆爱安静。
358	1	5	4	9	-1	2	1	-1	0	0	1	1	0	0	0	1	1	MX2是目前最好的手机，无论哪方面！我宣告：三星苹果开始走下坡！
359	1	8	1	9	-1	3	0	-1	0	0	0	0	0	1	0	0	0	最近瞧上一只翡翠手镯，玉质细腻，通透可人，称得玲珑。我已经有些年没见过这般可人的翡翠了。就是有那么一道瑕疵，虽然不是很明显，但实在有种抓破美人脸的遗憾。
360	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	我收到圣诞礼物哇  B青年黄大鼻 大妹屎送给我价值不菲的翡翠夜明珠 我中意阿!
361	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	我一直很喜欢翡翠啦，你家很棒的。
362	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	吼吼~~这就是我的下一部手机。大爱三星GALAXY S4！！快点发布吧！！！
363	1	2	7	9	1	0	3	1	1	1	1	0	0	1	1	1	1	"现在无论是炫丽夺目的翡翠,还是温润的和田玉,价值已经不是用价格来衡量了!"
364	1	2	7	9	1	0	3	1	1	1	1	1	0	0	1	1	1	三星的产品线令人叹为观止。
365	1	2	7	9	1	0	3	1	1	1	1	1	0	1	1	0	1	没见过这么绿的翡翠。主人说她家里是做玉石生意的。
366	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	台湾馆里好东西真多，走不动道了，现在还在回忆那只浓粉紫的镯子，可惜不让拍照。我感叹时，旁边有个外国帅哥也附和着说，＂真养眼啊！＂，翡翠之美打动人心，不分国界。
367	1	1	8	9	1	1	2	1	0	1	1	1	1	1	1	1	1	实践证明，三星手机还是很扛摔的。个人感觉不亚于诺基亚。
368	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	很喜欢的带雪花棉的翡翠，简单、雅致，少见！
369	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	"金绞密,肥厚叶子.从翡翠工演化过来的豆子,终于到了炉火纯青的工艺.符合中国美的胖叶子,俏皮可爱.尺寸:40*29*14毫米."
370	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	翡翠果然是集天地之灵气啊。
371	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	我喜欢【莹玉阁-缅甸a货翡翠冰玻种浅绿玉观音头吊坠489带证书保平安观音】这个宝贝！【】(分享自 宝apple客户端)
372	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	刚买的一块翡翠＂玻璃种＂，超正！大出血。
373	1	3	6	9	1	0	3	1	1	1	1	0	1	1	1	0	0	其实现在三星的手机也不错哈'起码google map不会平果那么甘遮。
374	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	腾冲这几天长了好多玉的知识，黄金有价玉无价，在这里什么样的翡翠价格都不足为奇。
375	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	漂亮不？你之前也是紫色的翡翠啊荷怡然自得。
376	1	2	7	9	1	1	2	1	1	1	0	1	1	1	1	1	0	某朋友说她父亲擅长“赌石”且从未失手，曾经100万买了块石头，劈出冰種琉璃帝皇綠翡翠，卖了10个亿，真的假的？！俺乡下人长见识了！洋非诚勿扰 ophia月牙。
377	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	回复 :翡翠的美，让人心醉痴狂，个人觉得，学到很多，能让人深思的美，值得追逐。
378	1	1	8	9	1	0	3	1	1	1	1	1	1	0	1	1	1	玩啊你胖感觉还是用三星手机好！
379	1	2	7	9	1	1	2	1	1	0	1	1	1	1	1	1	0	相于翡翠而言，我更喜欢和田的碧玉，温润。
380	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	三星9300尹恩惠用的手机，顿时觉得好高端。
381	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	喜欢三星艳丽的高清大屏幕，喜欢三星的性价比，喜欢三星的外观设计，我用的手机是三星g3，求一枚原装电池T---luo abyEGG103 indsonLe。
382	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	春天花会开，清代宫廷首饰的清新之作，嵌珠翠花卉金质耳环一对。此耳环以红宝石、翡翠、粉色碧玺组成花叶，颜色搭配清爽耐看。
383	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	晶莹剔透的冰玻种，雪花般漫天飞舞的棉让你有一种异样的美感，在这炎热的夏日倍感清凉。冰玻种晴水缅甸翡翠a货佛在心中挂件（一对）
384	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	我刚加入了 国平安人寿保险集团 的微群 “平安保险” 挺不错的 http://t.cn/aCzyIU 推荐大家也来看看~
385	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	雨天，拍摄感悟，三星的手机字体好有爱。
386	1	5	4	9	-1	3	0	-1	0	0	0	0	1	1	1	0	1	一直觉得三星手机的色彩很奇怪，原来是RGB排列方式的问题，好处是可以降低成本增长屏幕寿命（色次像素半衰期远短于红绿）
387	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	水头非常不错的小猴缠桃！实物比相片更漂亮噢！喜欢的可以联系福翡翠哦！
388	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	有没有很萌啊，本人{蒙人}一玫哈哈，这是用三星大手机拍的，虽然很失真但是美到自己了，就发啦，哈哈，
389	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	医疗保险真是好，此次生病费用其承担了2/3，大大减少了偶的经济负担，医疗保险够义气哦~
390	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	冰种飘花缅甸翡翠包白金扣福瓜挂件 水润悠长的冰种质地，种水极佳，充满灵秀；
391	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	罕见的工艺与中国图腾的完美融合，成就了此款文化与品质共存的精美翡翠作品。戒指中镶嵌着名贵翡翠，那一抹盈盈欲滴的翠绿，召唤起最古老神秘的记忆。
392	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	这雕花做的真心不错，翡翠无价，手工艺的精湛程度也最终决定了翡翠的身价！
393	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	沉香翡翠手链——越南沉水沉香，配以一大一小两颗翡翠，点缀血珀盘珠，大气，质朴，沉稳。光从观感上就觉得很有质感，朴实中透着高雅，再加上沉香天然的温醇香味，使佩戴者更加气质。【有喜欢的朋友欢迎私信或加qq2495464970详询订购】
394	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	哈哈粑粑我最爱你了三星手机我爱你。
395	1	4	5	9	1	2	1	-1	0	1	0	1	1	1	0	1	0	三星手机也是很适合拿来各种摔的，平均一周刷两回的情况下我的手机仍然坚强地活着。。该睡觉，只是突然又有点害怕。
396	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	这才是真正的冰种！还有水头，还有绿！价值定是不菲！
397	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	时尚的爱翡翠，超值的价格，可遇不可求，机会难得，不容错过！ir吹雪 旺妞 望北乡。
398	1	1	8	9	1	0	3	1	1	1	1	1	1	1	1	1	0	"好好漂亮的翡翠,好稀饭耶,谢谢果果麻麻翅蜗牛Ella ,Good night,see you tomorrow."
399	1	2	7	9	1	0	3	1	1	1	1	1	1	0	0	1	1	刚刚做的翡翠戒指！ 喜欢！ 翡翠可以乱真了！
400	1	1	8	9	1	0	3	1	1	1	1	1	1	1	1	0	1	新出的智能机！双卡双待！牛逼到家了！什么苹果，三星，HTC滚远远的！！都不是事！谁敢说自己的手机比这个强大！！
401	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	a货啊…翡翠叶子啊…… 大业啊……羡慕嫉妒恨啊…我爱翡翠我爱玉。
402	1	1	8	9	1	1	2	1	1	1	0	1	1	1	1	1	1	哈哈，三星手机还行，拍个全景。
403	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	冰种翡翠给人以冰一样的感觉，清清爽爽，这一丝朦胧的清凉之美。冰种翠色缅甸翡翠福瓜挂件。
404	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	冰玻种质地水润通透；精巧包围式伴钻设计，时尚动感；冰玻种缅甸翡翠镶九k金如意挂件（奥钻）
405	1	1	8	9	1	1	2	1	0	1	1	1	1	1	1	1	1	想当初我的白色翡翠变翠绿色。那个值钱啊。
406	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	黄翡a货玉手镯 鲜活灵动令人心旷神怡_珠宝知识_翡翠。
407	1	1	8	9	1	1	2	1	0	1	1	1	1	1	1	1	1	这不仅仅是翡翠，这是艺术品。雕刻比作画更难，需要充分运用原料，利用瑕疵化腐朽为神奇，意境深远，令人拍案叫绝，不得不传为佳话。
408	1	1	8	9	1	0	3	1	1	1	1	1	1	1	0	1	1	"新手机华丽丽地到了，三星GalaxyNote2,自付无套餐，老公说，这不像你的风格嘛。一直坚持能免费就免费的原则，用的是功能简单的入门机，不过现在真的觉得自己out了，科技可是第一生产力啊！换一部smart的手机，拥抱移动新时代。"
409	1	1	8	9	1	0	3	1	1	1	1	1	1	1	1	1	0	是的，三星非常非常强大，强大到韩国政府都非常忌惮却又无可奈何。电子，只是小小的一部分，当然最赚钱，可是对于三星这样的帝国，赚钱已经不是最重要的了。苹果和三星比，只是小孩。 《三星共和国另一面》 (来自 机新浪网) http://t.cn/zYRHxox。
410	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	三星i699手机很给力。
411	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	我真是越来越喜欢这套翡翠衣。。。我美好的孙巴巴[tm]~~~[心]
412	1	3	6	9	1	0	3	1	1	1	1	0	0	1	1	0	1	勤奋的好童鞋~喜欢红宝、蓝宝和珊瑚，其他的没有太多爱，其实我最爱的是翡翠~~
413	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	大师姐的这款翡翠藏品成色太好了，绝对极品啊！
414	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	冰玻种晴水缅甸翡翠a货戒面 冰玻种的质地，明净如湖水般的水头；结缘价5980元。
415	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	翡翠的美丽很醇厚，也很纯粹。平和温婉，沁人心脾。无论独挑大梁，单独呈现；抑或是简单串联，还是与其他宝石、贵金属组合，其独有的平和之美，都能让人一见倾心。
416	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	很有味道创意的一块五彩亚光翡翠，反面的原石充满了岁月的沧桑，残垣断壁的苍凉和古意越发衬托正面霸气凛然的天虎，喜欢！。
417	1	1	8	9	1	0	3	1	1	1	1	1	1	0	1	1	1	我推荐平安的，比人寿强。最主要找个负责的保险员。有助学险还有种储蓄的。储蓄的那个很适合做生意的家庭。
418	1	1	8	9	1	0	3	1	1	1	1	1	1	1	1	1	0	我现在的手机。。再怎么也是三星的哈哈 。是不是很小巧很可爱阿～ 說的迪崽是哪個頔-頔崽在此 佳佳佳佳梁。
419	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	保险基本意义在于让我们每一个人老有所依，少有所养，壮有所靠，让我们每一个家庭享受到内心安详的幸福保障。
420	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	灵珠宝 从蓝色火焰到东方翡翠，彰显你的魅力~
421	1	2	7	9	1	0	3	1	1	1	1	1	1	0	1	0	1	魅族手机首先是品质好，质量不用担心，屏幕非常惊人，全球最窄边框，硬件方面很出色，摄像头较之前有了很的提升，成像效果很惊艳，MX2的成像效果应该不次于甚至超越了iPhone5.魅族是我们国人的骄傲，魅族手机已经具备了国际水平，完全不比三星、htc之类的质量差。而且魅族全新的解锁方式，也是一朵奇葩。
422	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	很好的红绳，非常的喜欢乐善居 手工编织红绳手链 男女 翡翠莲藕节手链 本命年 红绳 饰品￥28.00【天猫】
423	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	三星真是争气，已成为全球第一大手机供应商。不愧我每次讲课时都拿三星做案例，下次更有的吹了!
424	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	汤灿应该很爱翡翠，见过她佩戴的满绿镯子，价值不菲。翡翠有光泽却不夺人视线，温润碧透、高贵无暇，一切都那么自然和谐，让人蒙生喜爱之 心。但愿每个女人都成为翡翠天使，洁白无瑕或青翠欲滴、自然灵动。
425	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	极品水沫子升值空间巨大，仿佛当年的无色玻璃种翡翠
426	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	让我整天念念不忘的翡翠镯，满色帝王绿，种细幼洁泛绿光，一出场便吸住我的眼球，一整套同色镶钻吊坠和戒指，钻表，美翻了。
427	1	0	9	9	1	0	3	1	1	1	1	1	1	1	1	1	1	此枚天然翡翠雕“大肚笑口佛”配钻石吊坠造型可爱，寓意吉祥，翠绿晶莹且玉身浑厚，非常讨喜。（更多精彩珠宝时尚资讯请关注宝源珠宝 ）
